,"0
08:30 - 08:55","1
09:00 - 09:45","2
09:55 - 10:40","3
10:50 - 11:35","4
11:45 - 12:30","5
12:50 - 13:35","6
13:55 - 14:40","7
14:50 - 15:35","8
15:45 - 16:30","9
16:30 - 17:15","10
17:15 - 18:00"
0,"Феклистов А. И.
8А","Феклистов А. И.
8В","Феклистов А. И.
8В","Ткачук Ю.Б.
10Г","Ткачук Ю.Б.
10Г","Сластникова А.С.
7В","Ткачук Ю.Б.
11Д","Ткачук Ю.Б.
11А/11Б/11В/11Г","Ткачук Ю.Б.
11А/11Б/11В/11Г",,
1,,"Ткачук Ю.Б.
10Г","Ткачук Ю.Б.
10Г","Ткачук Ю.Б.
10Г",,"Ткачук Ю.Б.
11Д","Ткачук Ю.Б.
11Д","Ткачук Ю.Б.
11А/11Б/11В/11Г","Ткачук Ю.Б.
11А/11Б/11В/11Г",,
2,,"Пылёва Т.С.
6Б",,"Феклистов А. И.
8Б","Феклистов А. И.
8Б",,,"Феклистов А. И.
8Г",,,
3,,"Сластникова А.С.
7Б","Сластникова А.С.
7Б","Феклистов А. И.
8Г","Ткачук Ю.Б.
11Д","Ткачук Ю.Б.
11Д","Ткачук Ю.Б.
11Д","Ткачук Ю.Б.
10Г",,,
4,,"Феклистов А. И.
8А","Феклистов А. И.
8Д","Феклистов А. И.
7Б","Феклистов А. И.
7В","Феклистов А. И.
7В",,"Феклистов А. И.
8Д",,,
5,,"Сопот Н.А.
6Б","Сопот Н.А.
6Б","Сопот Н.А.
6В","Сопот Н.А.
6В","Сопот Н.А.
6В",,,,,
